Processes: 410 total, 2 running, 408 sleeping, 1401 threads 
2018/10/10 12:34:45
Load Avg: 0.85, 0.82, 0.82 
CPU usage: 10.34% user, 20.68% sys, 68.96% idle 
SharedLibs: 246M resident, 61M data, 40M linkedit.
MemRegions: 65420 total, 1337M resident, 91M private, 1422M shared.
PhysMem: 8012M used (2210M wired), 179M unused.
VM: 1985G vsize, 1302M framework vsize, 2450971(0) swapins, 2752124(0) swapouts.
Networks: packets: 5612698/5892M in, 3672014/2386M out.
Disks: 2535795/38G read, 2289854/39G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID FAULTS     COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
23541  ex2              0.0  00:00.00 1     0   10+    280K+  0B     0B     23541 10700 sleeping *0[1+]       0.00000 0.00000    501 376+       91+     25+        12+        98+        50+        3+         0       0        0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
21448  coreautha        0.0  00:14.67 3     1   202+   12M+   0B     7236K+ 21448 1     sleeping *0[1477+]    0.00000 0.00000    501 32266+     297+    81531+     37062+     2273432+   334317+    192174+    408+    17777    0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
20952  QuickLookSatelli 0.0  00:00.06 2     1   51+    4108K+ 0B     2664K+ 20952 1     sleeping *0[1+]       0.00000 0.00000    501 5571+      211+    258+       61+        1842+      517+       364+       0       1        0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
20951  quicklookd       0.0  00:00.19 6     3   102+   3804K+ 128K+  1764K+ 20951 1     sleeping *0[8+]       0.00000 0.00000    501 6119+      240+    729+       205+       24005+     1536+      1250+      62+     33       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
20699  diagnosticd      0.0  01:41.22 2     2   100+   1664K+ 0B     756K+  20699 1     sleeping *0[1+]       0.00000 0.00000    0   30808+     148+    687125+    229872+    2504642+   917666+    822171+    1725+   3466     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
20194  mdworker_shared  0.0  00:00.12 3     1   59+    3352K+ 0B     3300K+ 20194 1     sleeping *0[1+]       0.00000 0.00000    501 7493+      225+    874+       359+       2425+      1067+      855+       5+      0        0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
20193  mdworker_shared  0.0  00:00.10 3     1   59+    3348K+ 0B     3296K+ 20193 1     sleeping *0[1+]       0.00000 0.00000    501 7451+      225+    704+       296+       1504+      808+       683+       4+      0        0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
20192  mdworker_shared  0.0  00:00.11 3     1   59+    3388K+ 0B     3336K+ 20192 1     sleeping *0[1+]       0.00000 0.00000    501 7472+      225+    755+       313+       1829+      884+       839+       10+     0        0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
20191  mdworker_shared  0.0  00:00.13 3     1   57+    3372K+ 0B     3312K+ 20191 1     sleeping *0[1+]       0.00000 0.00000    501 7544+      225+    1015+      420+       3041+      1257+      988+       6+      0        0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
20139  netbiosd         0.0  00:00.06 4     4   29+    2388K+ 0B     1840K+ 20139 1     sleeping *0[1+]       0.00000 0.00000    222 3000+      164+    123+       38+        1528+      254+       352+       40+     30       0.0   0      0      _netbios           N/A    N/A   N/A   N/A   N/A   N/A  
20128  eapolclient      0.0  00:00.06 3     1   52+    2444K+ 0B     1176K+ 20128 59    sleeping *0[1+]       0.00000 0.00000    501 3689+      362+    321+       104+       8209+      805+       414+       40+     3        0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
18867  mapspushd        0.0  00:01.30 2     1   86+    6920K+ 0B     6280K+ 18867 1     sleeping *0[48+]      0.00000 0.00000    501 27317+     233+    2933+      4448+      29554+     10047+     15057+     269+    428      0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
17300  silhouette       0.0  00:00.20 2     1   60+    2676K+ 0B     2468K+ 17300 1     sleeping  0[0]        0.00000 0.00000    501 7859+      156+    657+       576+       6050+      2127+      1616+      27+     44       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
17226  mdworker_shared  0.0  00:00.15 4     1   56+    12M+   0B     10M+   17226 1     sleeping *0[1+]       0.00000 0.00000    501 9127+      194+    794+       336+       2045+      935+       394+       233+    3        0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
17168  IMAutomaticHisto 0.0  00:00.48 2     2   72+    2588K+ 0B     2148K+ 17168 1     sleeping  0[0]        0.00000 0.00000    501 19165+     204+    1700+      1180+      10627+     4577+      5494+      20+     202      0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
17167  periodic-wrapper 0.0  00:00.03 2     2   25+    380K+  0B     228K+  17167 1     sleeping *0[1+]       0.00000 0.00000    0   1197+      80+     83+        86+        741+       256+       362+       1+      29       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
17124  FMIPClientXPCSer 0.0  00:00.26 2     1   38+    1848K+ 0B     1648K+ 17124 1     sleeping *0[3+]       0.00000 0.00000    501 8151+      228+    632+       588+       6744+      2067+      1834+      433+    53       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
17123  siriknowledged   0.0  00:00.43 2     2   42+    1916K+ 0B     1600K+ 17123 1     sleeping *0[1+]       0.00000 0.00000    501 13108+     205+    1255+      1366+      9787+      2993+      5475+      90+     224      0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
17102  com.apple.iTunes 0.0  00:03.64 2     2   47+    4540K+ 0B     4356K+ 17102 1     sleeping *0[3930+]    0.00000 0.00000    501 16527+     190+    28007+     11935+     58866+     34634+     27540+     127+    222      0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
17099  assistant_servic 0.0  00:46.87 3     1   141+   20M+   0B     19M+   17099 1     sleeping *0[333+]     0.00000 0.00000    501 303891+    855+    90163+     44408+     670064+    177767+    256108+    2547+   22823    0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
15702  com.apple.audio. 0.0  00:00.02 2     2   21+    908K+  0B     884K+  15702 1     sleeping *0[2+]       0.00000 0.00000    501 3289+      145+    115+       69+        1243+      280+       283+       0       17       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
15189  keybagd          0.0  00:00.02 2     2   19+    716K+  0B     656K+  15189 1     sleeping *0[1+]       0.00000 0.00000    0   1576+      139+    63+        26+        823+       148+       212+       20+     2        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
